comment_id,text,mean_score,target_group,label_3,label_bin,pred_3,my_pred_bin,imsypp_pred,my_model_wrong,imsypp_wrong
44653,trolls will be ignored the disgusting thing about all this is that your country actually has the resources but your israeli passport holding congress gives your taxes to israel. why ye put up with these traitors is beyond my comprehension.........,-0.13,target_religion_jewish,1,0,1,0,1,False,True
43804,iran is evil says israel. also you must die to fight iran in the name of the jews.,-0.52,target_religion_jewish,1,0,2,1,1,True,True
41587,fake jews own them revelation 2:9,0.17,target_religion_jewish,1,0,2,1,1,True,True
49717,"free yourself from jews before they ad another 10 trillion to your already 22 trillion debt. , by sending you into a new war.",0.09,target_religion_jewish,1,0,2,1,1,True,True
17968,"""gee, i wonder what the jews did to piss off hitler... lol, what are you complaining about? just don't wanna jump on the bandwagon!"" like, seriously, that's possibly the dumbest thing you could have vomited at me. and quote or no, implying that the only reason i'd care about abuse victims would be because my ""girlfriend"" is going on my nerves is quite the card to pull, no matter how much you want to backtrack on it now because it sounds really stupid out of a sudden.",-0.42,target_religion_jewish,1,0,1,0,1,False,True
44621,"all footage of ""hostage"" narrative came from cnn... we already know they parrot misinformation like good goys.",1.9,target_religion_jewish,2,1,0,0,1,True,False
40439,"wow what a diverse cast. a bunch of jews, a half-jew and a token black puppet of the jews.",1.86,target_religion_jewish,2,1,1,0,1,True,False
24348,[USER] except some are jewish and comparing them to that is terribly anti-semitic,-2.45,target_religion_jewish,0,0,0,0,1,False,True
1495,shove your antisemitism up your fucking hole.,-1.56,target_religion_jewish,0,0,2,1,1,True,True
6163,"made of ketamine, the jews are. turn the atmosphere into breathable ketamine, the final solution will.",1.6,target_religion_jewish,2,1,2,1,0,False,True
36633,"oh fuck off arsehole, it is not anti-semitic to call him out. it's the fucking constitution. you are the disgrace dragging out the anti-semitic card to prevent an investigation. it's pathetic. #insiders",0.52,target_religion_jewish,2,1,1,0,1,True,False
14323,"looks to me like a cynical pr attempt by the zionist master race to wax humanistic with a special emphasis on the ""judaism"" of their efforts as they continue their controlled-collapse of the us.",-0.28,target_religion_jewish,1,0,1,0,1,False,True
9095,">israel has hypnotized the world, may allah awaken the people and help them see the evil doings of israel she's the one passing out the 'jews are manipulative people trying to con the world' trope. so yeah, she is the anti-semite.",1.0,target_religion_jewish,2,1,1,0,1,True,False
4117,u need to clean out ur insides kike,1.56,target_religion_jewish,2,1,2,1,0,False,True
16347,what's the difference between a jew and pizza i don't want to violently torture and murder a pizza,2.88,target_religion_jewish,2,1,2,1,0,False,True
13270,he's too dangerous to be left alive. he has the capacity to bring down all the corrupt and sexually abusive m/billionaires. and yet you imagine they're going to continue helping him because of israel or some shit?,-0.54,target_religion_jewish,1,0,1,0,1,False,True
6819,it's like you are so unsatisfied about your death you just have to tell someone about it so you hang around the same spot bugging anyone who will listen. most of my friends were jewish growing up and i have a lot of experience with jewish mothers. dont tell me my observations are wrong.,-2.25,target_religion_jewish,0,0,0,0,1,False,True
10670,"i don't know, i'm asking you what you mean by the term ""dijaspora"", precisely because of that. pretty much the only context on which i've heard the name used in english is on the context of the jewish dijaspora, so i asked if that's what you mean. i just have no fucking idea why you call me that, i don't speak bulgaro-fascist xd",-1.3,target_religion_jewish,0,0,1,0,1,False,True
29472,[USER] the jews lmao. you stupid.,-1.12,target_religion_jewish,0,0,2,1,1,True,True
46036,"thank you so much dr mike for sharing this! ti maladets takoi, cant believe you're jewish",-0.33,target_religion_jewish,1,0,0,0,1,False,True
23955,joel is a hitler slut,0.35,target_religion_jewish,1,0,2,1,1,True,True
39870,"[USER] [USER] [USER] do you ever wonder why people hate jews? for one, you live in israel yet you don't want us to rule our own destiny. why the fuck do you care what we do or what we think, don't stick your nose to other people's businesses, you have your ""holy land"" now, focus on it",0.02,target_religion_jewish,1,0,1,0,1,False,True
8282,haha dude had to throw the vile anti semite in like a cunt.,-1.14,target_religion_jewish,0,0,1,0,1,False,True
40088,go ask your rabbis leo! who knows why you zionists do the things you do.,-1.19,target_religion_jewish,0,0,1,0,1,False,True
46955,jack off jew says nobody takes bitcoin hahahahaha...his own company takes it..what i call a jack off jew.,0.62,target_religion_jewish,2,1,1,0,1,True,False
6073,"so what you're saying is, jews are soulless and demonic people and this is exhibit a of why. how can people do things like this? the world is in shambles because some people have absolutely no character.",-0.32,target_religion_jewish,1,0,1,0,1,False,True
22849,to all you cowards who walk around brooklyn and the city smacking unsuspecting jewish people in the face...i pray one day you try to pull that shit with me. you better have a gun or 5 guys because if you don't i will beat your pussy ass all over the damn street. #sidizens,-2.27,target_religion_jewish,0,0,2,1,1,True,True
6559,it's cause back home they don't white people shitting on them when they express their culture like the diaspora do.,-0.68,target_religion_jewish,1,0,0,0,1,False,True
25126,[USER] [USER] the left have plucked out their own eyes. they cannot see that they are the intolerant nazis. the blame must be laid at the feet of the #jew hating [USER],0.91,target_religion_jewish,2,1,1,0,1,True,False
30126,"[USER] the truth hurts. you are more than welcome to block me if i offend your sensitive feelings. alternately, check me feed and see how your do no wrong israel shot a 9 year old palestinian in the head yesterday.",-0.71,target_religion_jewish,1,0,1,0,1,False,True
13683,"i don't know, but why does their religion matter at all? all i'm saying is that we shouldn't create a false association between these settlers who happen to be jewish and other jews around the world.",-2.85,target_religion_jewish,0,0,0,0,1,False,True
41393,who is this jewghost? do you mean the rabbi that pissed off the jew bankers and was executed by the state as an example to others not to mess with the jew bankers?,1.34,target_religion_jewish,2,1,1,0,1,True,False
15653,"*""we have sacrificed martyrs to keep the hijab""*. well that was a fucking stupid thing to die for.",-0.03,target_religion_muslim,1,0,1,0,1,False,True
44832,+hiiamfin it is when we have instant knowledge at the tips of our fingers and these life hating anti women terrorists ignore it.,-0.96,target_religion_muslim,1,0,1,0,1,False,True
39878,hafiz saeed coming to attack india. url,-0.33,target_religion_muslim,1,0,0,0,1,False,True
1872,"peope do most of the corrupting, as you know with islam.",-0.28,target_religion_muslim,1,0,1,0,1,False,True
29494,"""take action in teaching traditions of ahlulbayt ع to your children before the corrupted persons precede in corrupting them."" __imam sadiq ع url",-2.48,target_religion_muslim,0,0,0,0,1,False,True
25248,"hello [USER] sir, if you really want upliftment of muslims, please ban madarsas or at least get quran reviewed. the kids, if continued reading such contents, won't be able to become good human & will always be vulnerable + non-progressive. scholars won't help. folded_hands folded_hands",-1.01,target_religion_muslim,0,0,0,0,1,False,True
42369,america needs to disband from communist and islamist. dictators just don't get it.,-1.16,target_religion_muslim,0,0,1,0,1,False,True
21982,"[USER] working in muslim country ? where beef is avaliable like popcorn ? if he is deshbhakt, he will say bharat mata ki jai on the airport of bahrain 10times & join the jobless in india. dam no he will work there, curse them, earn there, eat in the name of god whatever & sanghi ?",-1.37,target_religion_muslim,0,0,1,0,1,False,True
48310,"if we embrace all faiths, you are condemning people to hell.",-1.16,target_religion_muslim,0,0,1,0,1,False,True
2425,the people who need to be hung are the muslims who started the 2002 riots by burning 50 hindus to death,0.52,target_religion_muslim,2,1,1,0,1,True,False
48334,sa gotta keep this going never stop banging on these religious dummies,-1.37,target_religion_muslim,0,0,2,1,1,True,True
11629,"oh, this bullshit distraction of an 'argument'.; ​ fact is, palestine was there, european forcible displaced them, plopped israel there and allowed israel to steal more and more land. ghoury basically had a gun to his head. wtf is wrong with you lying disingenuous sacks of shit?",-0.44,target_religion_muslim,1,0,1,0,1,False,True
49018,better hope you got the muslims behind your back. better hope the african american or blm rally behind you or he is toast. need a strong community to get you out these situations. that 6 years in prison might be coming very soon for asap sweden no joke. hopefully someone rich can bail him out.,1.52,target_religion_muslim,2,1,1,0,1,True,False
6018,"i don't think he deserves to be thrown in jail lmao quit projecting but the reality is that in a secular country, speaking against a religion will have consequences and colby might just be dumb enough to try and shit on islam in abu dhabi",-2.1,target_religion_muslim,0,0,1,0,1,False,True
43170,"castration , hands cut off , tongue cut out , brand on his forehead . hung upside down in public to receive the thousand cuts from women . then slowly impaled up his anus on a tall sharpened pole . we love sharia law by any name . we just won't admit it . count vladimir dracul ( dracula ) was a christian hero , who impaled moslems .",1.6,target_religion_muslim,2,1,1,0,1,True,False
33164,[USER] [USER] how quiet they have been. they stand up for gay rights aslong it doesnt interfer with thier muslim base. face_with_tears_of_joy face_with_tears_of_joy #hypocrisy,-0.77,target_religion_muslim,1,0,0,0,1,False,True
3722,"also religious people say that god designed everything and takes credit for everything. fossils? god planted them to test our faith. indoor plumbing? god blessed the inventor with the idea and ability to do it. vaccines? evil!!!! then they pray for a solution when they/their kid get a preventable disease. god already gave it to you and you turned it down, if he does exist he is 100% justified in sticking his fingers in his ears while you pray.",-1.44,target_religion_muslim,0,0,1,0,1,False,True
25799,"[USER] here is one many genocides commited by isis. the only explanation is trudeau worships the real terrorists, just like his brother, in iran. url",-0.71,target_religion_muslim,1,0,1,0,1,False,True
48918,they receive death threats because they are anti american. has nothing to do with trump. play the shir were the clearly state they hate america and its values. they are muslim and want sharia law to rule the land!,0.36,target_religion_muslim,1,0,1,0,1,False,True
4806,lauren southern was shut down by fascist islamic british police for displaying a similar sign.,-1.79,target_religion_muslim,0,0,1,0,1,False,True
45598,"another few to look at is aoc,omar and talib? they hate america,they hate whitey/black men anyone american and its a fact they have access to weapons,are raging everyday ,hate ou r president and have shown no knowledge of our govt?maybe they thought they attacked the white houseand got who they want to get?jussie smolletseeking revenge for his beating?maybe he thought there was a maga meeting there? why do we assume its a stranger?",0.97,target_religion_muslim,2,1,1,0,1,True,False
1938,outlaw religion,0.03,target_religion_muslim,1,0,0,0,1,False,True
22315,"& more evil & more destruction on your earth - ya allah destroy them! hold on here, have we heard you make such a passionate du'a to against the real tyrants of the earth who are your beloved rulers who cause much more tyranny and more evil & more destruction.....",-0.88,target_religion_muslim,1,0,1,0,1,False,True
32636,"[USER] [USER] these need to be & i hope they were arrested for their hate crimes! that's so wrong to scream 'go back to the fire' implying fires where they burned jews in the holocaust! wow these muslims are so full of the devil's hate, they can't comprehend decent behavior, how pathetic. url",0.32,target_religion_muslim,1,0,1,0,1,False,True
47966,"you've turned england islamic!! and you back child sex trafficking in your country!! shame on you, england!!!",0.23,target_religion_muslim,1,0,1,0,1,False,True
4829,"with that nose, a burqa would look like a circus tent tilted on its side.",0.02,target_religion_muslim,1,0,0,0,1,False,True
20646,[USER] [USER] how long you muslims will continue doing all the heinous crimes in the name of your muslim religion??? when you will come to your senses? when you are going to stop terrorizing the world in the name of your muslim religion?,1.2,target_religion_muslim,2,1,1,0,1,True,False
40155,gee cair and all the muslims didn't come forward to decry this man with their vision of peace in islam. phonies. url,-0.8,target_religion_muslim,1,0,0,0,1,False,True
20043,"im ,i hate black people and minorities",0.4600000000000001,target_religion_muslim,1,0,1,0,1,False,True
3524,"thats what a memeber of isis would say, you pakistani twat.",1.55,target_religion_muslim,2,1,1,0,1,True,False
33101,"[USER] another one of your white isis extremists radicalized by your pure propaganda. you're a danger to america, you'll be arrested and will go to jail brian.",-2.04,target_religion_muslim,0,0,2,1,1,True,True
15281,"a muslim man coming to the defense of a regime that puts muslims in concentration camps, harvests their organs, and god knows what else. unacceptable",-1.57,target_religion_muslim,0,0,1,0,1,False,True
8764,lmfao tell me i'm wrong bout their prophet fucking a 9 year old?...,0.37,target_religion_muslim,1,0,2,1,1,True,True
31501,"wake up america. the muslims have their foot in the door. if we don't end our pc tolerance of this evil in our midst, america is doomed. vote them out!!!",0.25,target_religion_muslim,1,0,2,1,1,True,True
29070,"[USER] these types of sick haters & anti social elements should be arrested, whether they belong to any religious community. immediate action should be taken by police whoever disturb the social harmony. our country will progress only if there is internal peace & harmony amongst people",1.06,target_religion_muslim,2,1,0,0,1,True,False
37777,"when you go to the grocery store, shop around the edges because that's where you can find fresh produce, dairy, proteins and exits for when a white supremacist enters with an assault rifle to kill you in cold blood.",-0.48,target_religion_muslim,1,0,2,1,1,True,True
36773,"on #03th august peshmerga betrayed the yezidis and withdraw from sinjar, thousands of children and men were killed and women were took as sex slave. thousands of them have choice either convert to islam or they have to be beheaded. they raped girls in age of 11yrs url",-0.58,target_religion_muslim,1,0,1,0,1,False,True
2828,muslims don't hate dogs. the fact that you would even say that shows how little you know of islam,-3.61,target_religion_muslim,0,0,1,0,1,False,True
35020,"i read a tweet in morning that wherever govt gives land to build a mosque, locals buried a pig on that place and make it a news! i request you all please don't share this news & don't make people aware. folded_hands url",-0.43,target_religion_muslim,1,0,0,0,1,False,True
39115,[USER] [USER] and lucky to be called a pakistani. half of pakistan is already in china's hands.,-2.56,target_religion_muslim,0,0,0,0,1,False,True
35773,"the evil alt-left/liberals & islamic cult have been brought together by the one overriding trait, they share a hatred for america & the uk; their belief that the u.s./uk are the very embodiment of evil on earth & consequently must be destroyed url",-0.27,target_religion_muslim,1,0,1,0,1,False,True
44282,in america we just shoot them and move on,0.58,target_religion_muslim,2,1,1,0,1,True,False
29011,#caliphate,-3.12,target_religion_muslim,0,0,2,1,0,True,False
13413,"same argument can be made about lefties and immigration/borders. muslims are currently taking over europe, it will eventually be predominantly muslim and at that point will no longer be europe. you progressives though, i genuinely hope your children grow up to be mentalli ill lgbtq people, essentially cutting of your gene pool. you would have to be a fucking bigot to be offended by that statement too.",1.45,target_religion_muslim,2,1,1,0,1,True,False
43128,yeah - the koran is a lie.,-1.15,target_religion_muslim,0,0,1,0,1,False,True
49416,sooooo??? what we now just for illegal immigration??? than don't complain when terrorist come in like a field day ....idiots .... what a disgrace to anyone who suffered from 911 directly,-0.14,target_religion_muslim,1,0,1,0,1,False,True
19219,so u really fucking think that the reason those shit heads mass shoot is because that they are mentally ill huh? they are fucking terrorists ffs. you people can't get that white people are also capable of terrorism so you just convince yourself that they are just mentally ill. r/insanefuckingpeopleonreddit,-0.03,target_religion_muslim,1,0,2,1,1,True,True
27064,"[USER] [USER] wrong. her headscarf is shairalaw. right now, in europe, the animosity of these world-haters result in absurd verbage & utensil restrictions, gangs that sodimize who/whatever they can catch & need 4 police canine units to protect healthcare employees. they need a ""homeland"".",-2.13,target_religion_muslim,0,0,2,1,1,True,True
34785,"[USER] [USER] [USER] [USER] [USER] pls go n hv am useful stuff !! u r useless rubbish only trying to demean islam ,,, i respect every religion ,, u r nt true to ur own religion dats why making fun of others",-3.59,target_religion_muslim,0,0,1,0,1,False,True
33201,"jailed, not deported. she is a criminal who should serve time for her crimes. at least we will not cry infidel and chop off her head or stone her.",-0.1,target_religion_muslim,1,0,2,1,1,True,True
35118,[USER] dunno if it counts as great but flanders would be flat out replying to red pillers and g o'd and that ilk with obviously fake things like blanch being a no go zone for christians cos of muslim gangs,-1.2,target_religion_muslim,0,0,1,0,1,False,True
49615,send the taliban supporter back,-0.9,target_religion_muslim,1,0,1,0,1,False,True
36445,tommorrow if a muslim does another #zomato by boycotting a hindu delivery boy i will be the 1st person to attack that muslim bigot. #boycottzomato #idontstandwithamit #istandwithamit #idontstandwithbigots #zomatoexposesbigot #zomatosaysnotohate,-0.38,target_religion_muslim,1,0,1,0,1,False,True
47794,it is time the free world taking staunch action against muslim iran's nuclear capabilities which is threatening both israel and europe. hope this drone was not merkel germany-made ?,-0.83,target_religion_muslim,1,0,0,0,1,False,True
24594,#farage defends #widdecombe over #homophobic gay therapy comments by claiming many muslims are more extreme. url,-1.36,target_religion_muslim,0,0,0,0,1,False,True
22564,[USER] [USER] islam is to blame & a huge number of muslims who are the enemy of this country. had they not been let in we would not be talking about a woman who is complicit in mass murder. if she is to go anywhere it is the hague with her husband. any lawyer defending is should be disbarred.,0.68,target_religion_muslim,2,1,1,0,1,True,False
37553,part 1. you are a liar. there has not been 251 mass shootings. you want to talk about mass shootings check out those nations in the middle east that you support because they are muslim / islamic controlled. they also banned the common citizens from owning guns.(cont.) url,-0.53,target_religion_muslim,1,0,0,0,1,False,True
16289,"call it wahhabi islam. remind them that their whole philosophy is based on the ranting of an grumpy old man in the 14th century who thought islam was too progressive back then, and who's only relevant today because he got in on the ground floor with the house of saud.",0.04,target_religion_muslim,1,0,0,0,1,False,True
7337,"you're right, the unborn women need to be kept away from extremists and maintain full bodily autonomy. that's a different person in there. different genes. it's science, not religion. not your fucking body. ​ people will take care of the babies, even if you are too much of a piece of shit to. ​ how many abortions have you had? how many babies have you had crushed up because you didn't want to cancel netflix and get your fat ass off the couch to take care of it?",0.62,target_religion_muslim,2,1,1,0,1,True,False
23892,"[USER] [USER] [USER] that's the last place [USER] should be, keep the muslims away from our military!! so disgusting!",-0.26,target_religion_muslim,1,0,2,1,1,True,True
38057,[USER] great vigilance. these fools just don't stop. shalom.,-2.5,target_religion_muslim,0,0,1,0,1,False,True
37994,"it's really incredible that these killers can out and murder scores of people, detail that it's because of their hate for immigrants, black people, and general white supremacy ideology, and still get coddled like this. which is convenient in looking away from the harsh truth. url",0.07,target_religion_muslim,1,0,0,0,1,False,True
25753,[USER] calling them sodomites and goat shaggers - isis destroyed,0.45,target_religion_muslim,1,0,2,1,1,True,True
48196,arabs are too religious to be smart.,1.74,target_religion_muslim,2,1,1,0,1,True,False
15313,he\`s not even a muslim,-3.27,target_religion_muslim,0,0,0,0,1,False,True
47369,"sooo, religions and cultish practices encouraged dumb behavior. noted.",-0.9,target_religion_muslim,1,0,0,0,1,False,True
25821,"shame on london's muslim mayor, he attacks trump during a visit to pakistan, a country that executes christians for false charges of blasphemy. jerusalem was, is and will always remain the capital of israel whether sadiq khan likes it or not. url",-0.12,target_religion_muslim,1,0,0,0,1,False,True
15403,yeah bummer. nz shouldnt have much to say after literally cucking out and then letting some guy kill 50 muslims.,-1.72,target_religion_muslim,0,0,1,0,1,False,True
16829,"saudi arabia, a country even disliked by muslims for it's corrupt rulers and culture. it's currently killing millions in yemen, supporting china's oppression of muslims and putting scholars who called for reform on death row. but the us will never condemn them for their actions because of that damn oil.",-1.55,target_religion_muslim,0,0,1,0,1,False,True
5975,"almost like religion is a tool of putting certain people in elevated positions of power. disgusting to read shit like this, vile humans.",-0.23,target_religion_muslim,1,0,1,0,1,False,True
25929,"here we go again. it's the old neocon ""the muslims are developing weapons to kill us all, so we need to go kill them first!"" propaganda. url",-1.05,target_religion_muslim,0,0,1,0,1,False,True
29486,"for that, you need islam to die.",-1.99,target_religion_muslim,0,0,2,1,1,True,True
18553,"i know you're joking but that kinda hurts me, maybe i'm just being sensitive but muslims aren't fucking animals, they're just people that are trying pass the day, like everyone else. you realise that some muslims have killed themselves because of comments that are similar to yours, so don't be a prick and if you have nothing nice to say don't say it.",-3.04,target_religion_muslim,0,0,0,0,1,False,True
1049,"i don't think you can commit blasphemy if you're not muslim if the first place face_with_tears_of_joy but on a serious note, this is absolutely ridiculous and disgusting. things like this are what paint a bad image of islam.",-1.51,target_religion_muslim,0,0,0,0,1,False,True
11750,you can be one of muhammad's 72 virgins.,-1.05,target_religion_muslim,0,0,0,0,1,False,True
27700,"basirhat mp nusrat jahan stood beside the mu$lim community after the sandeshkhali clashes. shameless hindu tmc leader of basirhat, dibendu biswas is enjoying the moment with her at bashirhat sadar hospital. didn't the hindus vote for you nusrat jahan? #knowyourenemies thinking_face url",-0.96,target_religion_muslim,1,0,0,0,1,False,True
32079,"[USER] [USER] omar abdulla is like dil dil terroristan. total fan boy. irp has enough money for rdx, saving for more to blast your people to bits, and shells across vorder, but srinagar elite give a shit because allah preached racism",0.46,target_religion_muslim,1,0,2,1,1,True,True
34034,"perhaps not quite so strident as that. maybe if we asked if salafist and other hard-line islamist types were returned, there might be a more congenial response.",-1.98,target_religion_muslim,0,0,0,0,1,False,True
